"year";"abudefduf_saxatilis";"acanthostracion_polygonius";"acanthostracion_quadricornis";"acanthurus_bahianus";"acanthurus_chirurgus";"acanthurus_coeruleus";"aluterus_monoceros";"aluterus_scriptus";"anisotremus_surinamensis";"anisotremus_virginicus";"apogon_pseudomaculatus";"archosargus_rhomboidalis";"balistes_capriscus";"balistes_vetula";"bathygobius_soporator";"bodianus_pulchellus";"bodianus_rufus";"bothus_ocellatus";"calamus_penna";"canthigaster_figueiredoi";"carangoides_bartholomaei";"caranx_crysos";"caranx_latus";"centropomus_undecimalis";"chaetodipterus_faber";"chaetodon_striatus";"chilomycterus_spinosus";"chromis_flavicauda";"chromis_jubauna";"chromis_limbata";"chromis_multilineata";"clepticus_brasiliensis";"coryphopterus_glaucofraenum";"cryptotomus_roseus";"ctenogobius_saepepallens";"dactylopterus_volitans";"decapterus_macarellus";"decapterus_punctatus";"diapterus_auratus";"diodon_hystrix";"diplectrum_formosum";"diplectrum_radiale";"diplodus_argenteus";"dules_auriga";"emblemariopsis_signifer";"engraulis_anchoita";"epinephelus_itajara";"epinephelus_marginatus";"epinephelus_morio";"fistularia_tabacaria";"gnatholepis_thompsoni";"gymnothorax_miliaris";"gymnothorax_moringa";"gymnothorax_vicinus";"haemulon_atlanticus";"haemulon_aurolineatum";"haemulon_parra";"halichoeres_brasiliensis";"halichoeres_poeyi";"halichoeres_sazimai";"harengula_clupeola";"heteropriacanthus_cruentatus";"hippocampus_reidi";"holacanthus_ciliaris";"holacanthus_tricolor";"holocentrus_adscensionis";"hypleurochilus_fissicornis";"hyporthodus_niveatus";"hypsoblennius_invemar";"kyphosus_sectatrix";"kyphosus_vaigiensis";"labrisomus_cricota";"labrisomus_nuchipinnis";"lutjanus_analis";"lutjanus_jocu";"malacanthus_plumieri";"malacoctenus_delalandii";"micrognathus_crinitus";"mugil_curema";"mycteroperca_acutirostris";"mycteroperca_bonaci";"mycteroperca_interstitialis";"mycteroperca_microlepis";"myrichthys_breviceps";"myrichthys_ocellatus";"myripristis_jacobus";"nicholsina_usta";"ocyurus_chrysurus";"odontoscion_dentex";"ogcocephalus_vespertilio";"ophioblennius_sp";"orthopristis_ruber";"pagrus_pagrus";"parablennius_marmoreus";"parablennius_pilicornis";"paraclinus_spectator";"paranthias_furcifer";"pareques_acuminatus";"pempheris_schomburgkii";"pomacanthus_arcuatus";"pomacanthus_paru";"porichthys_porosissimus";"priacanthus_arenatus";"pseudocaranx_dentex";"pseudupeneus_maculatus";"ptereleotris_randalli";"rhomboplites_aurorubens";"sardinella_brasiliensis";"scartella_cristata";"scarus_trispinosus";"scarus_zelindae";"scomberomorus_sp";"scorpaena_brasiliensis";"scorpaena_plumieri";"seriola_dumerili";"seriola_lalandi";"seriola_rivoliana";"serranus_atrobranchus";"serranus_baldwini";"serranus_flaviventris";"sparisoma_amplum";"sparisoma_axillare";"sparisoma_frondosum";"sparisoma_radians";"sparisoma_tuiupiranga";"sphoeroides_greeleyi";"sphoeroides_spengleri";"sphoeroides_testudineus";"sphyraena_barracuda";"sphyraena_guachancho";"sphyraena_picudilla";"sphyraena_tome";"starksia_brasiliensis";"stegastes_fuscus";"stegastes_pictus";"stegastes_variabilis";"stephanolepis_hispidus";"strongylura_marina";"synodus_intermedius";"synodus_synodus";"thalassoma_noronhanum";"trachinotus_falcatus";"trachinotus_goodei"
"2008";628.272727272727;1.62025316455696;NA;1;3.63917525773196;NA;NA;NA;15.3939393939394;184.616161616162;NA;1;NA;NA;NA;1;10.969696969697;1.1025641025641;NA;1.58108108108108;NA;29.0116279069767;NA;6.65656565656566;1.8314606741573;85.5858585858586;NA;NA;7.43076923076923;NA;37.4242424242424;NA;265.424242424242;6.45263157894737;2.75510204081633;NA;319.959595959596;NA;NA;1;2.85;6.91111111111111;1359.65656565657;5.73737373737374;4.36781609195402;NA;NA;103.656565656566;NA;1;NA;NA;1;NA;66.0808080808081;1715.77777777778;4;NA;10.7878787878788;1.2156862745098;NA;NA;NA;1.26086956521739;1.31578947368421;26.3030303030303;23.040404040404;22.5555555555556;4;NA;142.686868686869;NA;3.10843373493976;1;NA;2.09090909090909;149.121212121212;NA;7;41.6969696969697;1.95061728395062;2.23333333333333;1;NA;1.49275362318841;2.225;NA;1.41176470588235;84.4343434343434;2.75581395348837;6.19191919191919;358.757575757576;6.5;447.222222222222;228.50505050505;NA;1.97727272727273;32.030303030303;NA;2;10.1616161616162;1.32692307692308;NA;27.125;74.8080808080808;NA;45.6565656565657;577.586206896552;7.51063829787234;2.64044943820225;NA;NA;1.55555555555556;NA;NA;NA;1.78494623655914;3.91578947368421;1.2;7.65656565656566;1.84126984126984;2.65909090909091;3.41237113402062;23.2424242424242;4.2258064516129;3.02816901408451;142.727272727273;1.16417910447761;NA;NA;41.1333333333333;NA;2;548.333333333333;5.06060606060606;12.5050505050505;88.3535353535353;NA;1;4.40860215053763;1;NA;NA
"2009";257.262626262626;1;NA;1;2.89772727272727;NA;NA;NA;2.78350515463918;49.6161616161616;1;NA;NA;NA;NA;NA;10.7373737373737;NA;NA;3.32608695652174;NA;20.2150537634409;NA;29.1744186046512;1.1;29.1212121212121;NA;NA;2.12698412698413;NA;35.9090909090909;NA;31.2525252525253;9.26027397260274;NA;NA;42.4137931034483;NA;12.0112359550562;NA;NA;6.94949494949495;743.111111111111;1.21428571428571;1.66666666666667;NA;NA;65.7878787878788;NA;1.28169014084507;1.51388888888889;1;NA;NA;25.6060606060606;698.818181818182;1;1;22.3535353535354;NA;NA;NA;NA;1;1.69512195121951;17.2525252525253;6.07070707070707;NA;3.6734693877551;NA;11.020202020202;NA;5.66666666666667;1;NA;1.24615384615385;19.7878787878788;NA;NA;29.1313131313131;NA;NA;NA;NA;1.17543859649123;1.31884057971015;NA;NA;34.6565656565657;1.07317073170732;1.69662921348315;56.5555555555556;1.88524590163934;20.5353535353535;73.8080808080808;NA;NA;29.2424242424242;NA;NA;7.48484848484848;1.38372093023256;NA;27.8205128205128;19.5252525252525;NA;12.8202247191011;NA;NA;NA;1.87671232876712;NA;NA;NA;NA;NA;4;NA;NA;4.08163265306122;1.33802816901408;1.12962962962963;6.06060606060606;10.5555555555556;1;1.61971830985915;56.0808080808081;2.04;NA;NA;NA;NA;NA;202.79797979798;1;23.8383838383838;49.8888888888889;NA;NA;2.38947368421053;NA;NA;NA
"2010";449.484848484848;NA;NA;NA;NA;NA;NA;NA;3.54666666666667;46.1616161616162;NA;NA;NA;NA;NA;1.19642857142857;12.1111111111111;1.16393442622951;NA;1.45569620253165;NA;1;NA;NA;NA;34.2020202020202;NA;NA;NA;NA;23.1414141414141;NA;26.8080808080808;20.7755102040816;NA;1.86842105263158;20;NA;NA;NA;NA;2.52941176470588;216.060606060606;NA;3;NA;NA;47.5252525252525;NA;NA;1.2;NA;1;1;8.43298969072165;654.282828282828;NA;NA;15.9494949494949;NA;NA;NA;NA;NA;NA;5.49494949494949;4.10752688172043;1.10909090909091;1.44927536231884;NA;7.50505050505051;NA;1.16666666666667;NA;NA;NA;35.5555555555556;NA;NA;15.2121212121212;1.28571428571429;NA;NA;NA;1;NA;NA;NA;16.6060606060606;NA;NA;1;NA;53.6868686868687;7.6969696969697;NA;NA;24.0808080808081;11.4831460674157;NA;1;NA;NA;5.22413793103448;64.3535353535353;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;13.3636363636364;1.90277777777778;11.1919191919192;1;1;29.6969696969697;NA;NA;NA;NA;NA;NA;89.0808080808081;2.66666666666667;19.1818181818182;19.6464646464646;NA;2;4.17171717171717;NA;NA;NA
"2011";1858.58585858586;1.22222222222222;1;2.45454545454545;6.36363636363636;NA;NA;NA;2.6734693877551;124.434343434343;1;NA;NA;NA;1;1.26153846153846;21.4747474747475;NA;NA;4.22222222222222;NA;20;16.875;17.1428571428571;2.85882352941176;41;NA;1.62025316455696;NA;2.37234042553191;46.2626262626263;2.06666666666667;179.818181818182;11.7777777777778;1.18518518518519;NA;100.842105263158;NA;NA;NA;NA;6.24050632911392;267.727272727273;NA;4.56842105263158;463.333333333333;NA;73.3636363636364;NA;2;2.48051948051948;NA;1.575;NA;20.7676767676768;1962.55555555556;1;6.11111111111111;24.6969696969697;NA;NA;NA;NA;NA;NA;57.1515151515151;43.9393939393939;3.38823529411765;1.22222222222222;NA;56.1212121212121;NA;2.0989010989011;NA;NA;NA;156.343434343434;NA;1.91525423728814;33.8080808080808;2.68888888888889;NA;NA;NA;1;NA;NA;NA;131.151515151515;NA;3.75;708.826530612245;2;254.49494949495;65.5050505050505;1;NA;48.1919191919192;12.3737373737374;1;10.4040404040404;NA;NA;30.0625;24.2020202020202;2;217.111111111111;NA;2.53488372093023;NA;1;NA;1;NA;1;NA;12.5223880597015;NA;6.28282828282828;1.61728395061728;2.91954022988506;47.5050505050505;17.0909090909091;1;3;NA;33.2828282828283;1.41428571428571;NA;NA;14.3125;NA;NA;685.717171717172;10.6161616161616;24.1616161616162;15.2323232323232;NA;1;2.8125;1;NA;NA
"2012";457.848484848485;1.32894736842105;NA;1.43956043956044;2.12;NA;NA;NA;12;152.525252525253;NA;1;NA;NA;NA;1;4.55555555555556;NA;NA;1;NA;7.12987012987013;NA;18.2727272727273;1.69767441860465;59.8888888888889;NA;NA;8.62857142857143;NA;23.1515151515152;NA;228.353535353535;2.97560975609756;NA;NA;407.731958762887;NA;NA;1;3.60227272727273;5.95505617977528;619.535353535354;2.75268817204301;4;NA;NA;74.4343434343434;NA;1;NA;NA;1.32051282051282;NA;120.484848484848;988.292929292929;NA;1;5.66666666666667;1.31506849315068;NA;NA;NA;1;1;25.9292929292929;16.3737373737374;22.3333333333333;4;NA;108.070707070707;NA;2.42352941176471;NA;NA;1.16279069767442;205.343434343434;NA;NA;33.1414141414141;1.75862068965517;1.77083333333333;1;NA;1.24324324324324;2.35955056179775;NA;NA;96.2121212121212;3.65957446808511;1.54117647058824;449.151515151515;7.65060240963855;375.060606060606;187.848484848485;NA;1.90909090909091;46.1313131313131;200;NA;13.4444444444444;NA;NA;11.9047619047619;71.5151515151515;NA;41.0707070707071;NA;NA;NA;NA;NA;1;NA;NA;NA;1.33766233766234;4.89583333333333;2.51948051948052;5.50505050505051;1.25352112676056;1.62637362637363;3.18556701030928;11.6464646464646;NA;3.07042253521127;89.9292929292929;1.25714285714286;NA;NA;50.3555555555556;NA;NA;541.79797979798;4.81632653061224;15.8282828282828;77.1111111111111;NA;1;3.62765957446809;1;NA;NA
"2013";421.59595959596;NA;NA;NA;3.04597701149425;NA;NA;NA;5.18367346938776;81.1818181818182;NA;NA;NA;NA;NA;6.2;12.2222222222222;1;NA;1.89189189189189;NA;30;NA;NA;1.17073170731707;23.5151515151515;1;NA;1.9;30.1414141414141;42.2020202020202;NA;47.2828282828283;10.3589743589744;NA;NA;NA;NA;NA;NA;NA;5.96875;174.616161616162;NA;1.09677419354839;NA;NA;47.989898989899;NA;NA;1.39130434782609;NA;NA;1;39.0808080808081;578.49494949495;NA;1;6.98989898989899;NA;NA;NA;NA;1;1.33333333333333;31.6262626262626;4;1;2.67415730337079;NA;4.92857142857143;NA;7.39393939393939;1;NA;1.14634146341463;31.4646464646465;NA;NA;9.18181818181818;NA;NA;NA;NA;NA;1.42424242424242;NA;NA;31.2121212121212;1.14583333333333;4.46590909090909;3.27906976744186;2.14285714285714;86.8888888888889;238.212121212121;NA;NA;16.3838383838384;6;NA;6.57142857142857;NA;NA;3.07692307692308;14.4242424242424;NA;11.5652173913043;NA;NA;NA;1.9041095890411;NA;NA;NA;NA;NA;NA;NA;NA;3.97938144329897;NA;3.78205128205128;12.7676767676768;9.18367346938776;1;NA;10.9090909090909;NA;NA;NA;NA;NA;1.4;237.59595959596;1;27.4040404040404;3.70731707317073;NA;NA;1.72289156626506;NA;NA;NA
"2014";470.212121212121;1.43529411764706;NA;1.296875;1.3;1;NA;NA;4.13333333333333;164.858585858586;NA;NA;NA;NA;NA;1.44155844155844;16.6565656565657;1;1;1.84146341463415;NA;18.4186046511628;4.54166666666667;8;8.53061224489796;72.6060606060606;1;NA;NA;105.454545454545;48.0707070707071;NA;192.444444444444;3.81481481481481;NA;NA;129.141414141414;NA;NA;NA;1;12.020202020202;232.727272727273;NA;20.3434343434343;NA;NA;85.6262626262626;NA;NA;NA;NA;1.19642857142857;1.27083333333333;76.969696969697;1606.73737373737;1;2;8.50505050505051;NA;NA;NA;1.14285714285714;NA;NA;25.8787878787879;52.8989898989899;4.16161616161616;1.07547169811321;8.20731707317073;22.7070707070707;1;2.43956043956044;NA;1;3.95402298850575;73.7979797979798;NA;2;18.5353535353535;NA;1.265625;1.10526315789474;NA;NA;NA;NA;NA;61.1818181818182;1.46753246753247;7.95959595959596;100.484848484848;NA;169.89898989899;165.737373737374;1;NA;51.6666666666667;203.222222222222;NA;21.8989898989899;1;NA;3.35294117647059;98.9292929292929;NA;NA;42.2666666666667;1;NA;NA;NA;1.875;NA;NA;6;NA;1;NA;8.42424242424242;1;10.6464646464646;14.7474747474747;6.9375;NA;1;58.4141414141414;NA;NA;1;NA;NA;1;639.414141414141;1.19230769230769;37.2424242424242;32.3131313131313;NA;1;1.265625;NA;NA;NA
"2015";741.828282828283;NA;NA;NA;NA;NA;NA;1.63157894736842;1.69620253164557;116.050505050505;NA;NA;NA;NA;NA;NA;7.90909090909091;1;NA;NA;NA;24.8333333333333;6.125;NA;7.29896907216495;23.0808080808081;NA;NA;1;33.2929292929293;16.1616161616162;NA;160.30303030303;4.15492957746479;NA;NA;130;NA;NA;NA;1.58620689655172;14.0606060606061;85.9191919191919;NA;28.040404040404;NA;NA;47.040404040404;NA;NA;2;NA;1;1.10169491525424;35.0909090909091;3199.9797979798;NA;1.23404255319149;1.41891891891892;NA;NA;NA;NA;NA;NA;18.2626262626263;42.0909090909091;1.45098039215686;NA;NA;21.4040404040404;NA;2.54545454545455;NA;NA;2.77173913043478;52.6666666666667;NA;1.18181818181818;4.90721649484536;NA;NA;1;NA;1;NA;1;NA;54.9393939393939;NA;1;14.680412371134;NA;91.4848484848485;68.9191919191919;1.18518518518519;NA;65.2222222222222;101.469387755102;NA;6.09090909090909;1;195.808080808081;8.47674418604651;35.3232323232323;1;1;284.719101123596;NA;1;NA;NA;1.16666666666667;NA;NA;5;NA;NA;5.35714285714286;15.6161616161616;NA;6.33333333333333;8.64646464646465;3.71717171717172;1.27083333333333;NA;20.5858585858586;NA;NA;1;13.7234042553191;13.6;1;535.646464646465;4.45333333333333;9.07070707070707;21.2727272727273;NA;NA;1.575;NA;NA;NA
"2016";968.393939393939;NA;NA;NA;1;1;NA;NA;12.7878787878788;198.525252525253;1;NA;NA;NA;NA;1.24657534246575;13.1111111111111;1;1.8625;1.69117647058824;NA;55.6296296296296;7.26153846153846;1.4375;8.83333333333333;33.7171717171717;NA;NA;NA;155.353535353535;21.2727272727273;NA;448.212121212121;15.4489795918367;2.36;NA;100;NA;NA;NA;5.59210526315789;4.27160493827161;273.808080808081;1.4;115.727272727273;NA;NA;91.3939393939394;NA;1;NA;NA;2.67021276595745;1.12280701754386;99.3434343434343;2087.62626262626;10.9350649350649;1;2.94623655913978;NA;164.852941176471;NA;NA;NA;1;45.7373737373737;41.6262626262626;10.0606060606061;1;22.7676767676768;38.2828282828283;NA;3.41237113402062;1.24137931034483;NA;1.29850746268657;257.545454545455;2.22093023255814;54.6373626373626;13.1010101010101;NA;NA;NA;NA;1.24705882352941;NA;1;2;101.848484848485;1;4.12087912087912;28.8064516129032;NA;142.222222222222;137.080808080808;1.44;NA;17.6464646464646;101.959595959596;NA;12.1515151515152;NA;4.52747252747253;10.6666666666667;74.040404040404;NA;NA;7723.93939393939;5.17204301075269;NA;1.19565217391304;6.76595744680851;NA;NA;NA;1.32558139534884;5.48314606741573;2.921875;1.12;22.3333333333333;3.4375;27.6464646464646;20.6363636363636;5.72727272727273;1.94805194805195;1.95081967213115;15.3535353535354;1;NA;NA;10;NA;NA;542.373737373737;1.58426966292135;11.2121212121212;24.8686868686869;NA;NA;1.45762711864407;1;NA;NA
"2017";25.8484848484848;NA;NA;NA;NA;NA;NA;NA;7.4468085106383;77.5252525252525;NA;NA;NA;NA;NA;NA;1.47560975609756;NA;NA;NA;NA;NA;NA;NA;NA;12.1919191919192;NA;NA;NA;37.4141414141414;2.4020618556701;NA;119.747474747475;NA;NA;NA;NA;NA;NA;NA;NA;3.92391304347826;42.4242424242424;NA;NA;NA;NA;12.0707070707071;1;NA;NA;NA;NA;1.21311475409836;2.54255319148936;541.525252525253;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.19191919191919;1;1.67415730337079;NA;1;4.43157894736842;NA;NA;1;NA;NA;22.2828282828283;NA;NA;3.1010101010101;NA;NA;NA;NA;NA;NA;NA;NA;2;1;1;86.2340425531915;NA;6.79381443298969;7.98989898989899;NA;NA;1.59139784946237;23.1951219512195;NA;1;NA;NA;3;5.07216494845361;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7.63414634146341;1.83870967741935;NA;1.37179487179487;8.49494949494949;NA;1;1;8.34343434343434;NA;NA;NA;NA;NA;NA;84.6868686868687;NA;1;1;NA;NA;NA;NA;NA;NA
"2018";392.050505050505;NA;NA;NA;NA;NA;4;NA;4.01020408163265;123.878787878788;2;NA;1;1;NA;1;2.24210526315789;1;NA;NA;NA;90.2298850574713;1;1;23.9102564102564;22.7676767676768;NA;NA;NA;208.242424242424;5.39393939393939;NA;532.747474747475;15.4845360824742;1;NA;115.872093023256;152.854166666667;NA;NA;NA;32.3838383838384;256.454545454545;NA;20.1010101010101;NA;NA;26.7272727272727;NA;NA;NA;NA;NA;2.43181818181818;11.0909090909091;2908.48484848485;NA;2.69230769230769;NA;NA;NA;NA;1.48780487804878;NA;NA;10.989898989899;21.8787878787879;1.9672131147541;NA;14.5632183908046;6.47422680412371;1;1;NA;NA;1;162.545454545455;NA;3;5.31313131313131;NA;NA;NA;1;1;NA;NA;NA;8.26262626262626;1;NA;445.292929292929;NA;156.868686868687;95.3333333333333;1;NA;9.52525252525253;21.4141414141414;NA;7.71717171717172;NA;938.171717171717;9.89655172413793;42.4848484848485;NA;20;6.9375;2.74226804123711;NA;NA;NA;1;NA;NA;NA;2.98529411764706;NA;1;11.4242424242424;NA;5.61616161616162;30.8484848484848;3.29411764705882;1;1;13.5757575757576;1.96;NA;6.61290322580645;NA;NA;1;387.919191919192;NA;3.86734693877551;15.8181818181818;80;NA;1.86516853932584;NA;NA;1
"2019";498.242424242424;1.8021978021978;NA;NA;2;NA;NA;NA;4.03061224489796;64.8686868686869;1;NA;NA;NA;NA;NA;2.35714285714286;1;1;NA;NA;2;1;1;1;16.4747474747475;NA;NA;NA;70.7474747474748;5.49494949494949;NA;410.131313131313;2.19047619047619;NA;NA;153;81.9411764705882;NA;NA;NA;NA;65.4848484848485;1;NA;NA;NA;2.54081632653061;NA;NA;3.51685393258427;NA;NA;1;4.07070707070707;2158.22222222222;NA;1;1;NA;NA;15;NA;NA;1;15.3333333333333;1.85882352941176;NA;NA;NA;3.16842105263158;NA;9.31313131313131;NA;NA;1.92405063291139;84.5959595959596;NA;3.81318681318681;1;NA;NA;NA;NA;NA;NA;NA;NA;10.6666666666667;NA;1;10.9634146341463;NA;149.050505050505;46.4343434343434;1;NA;18.4646464646465;179.919191919192;NA;4.42424242424242;NA;155.010101010101;18;61.6161616161616;2.75757575757576;NA;NA;11.7979797979798;NA;NA;NA;NA;1;NA;NA;1;NA;1.58333333333333;5.70707070707071;NA;6.34343434343434;9.15151515151515;2.15116279069767;NA;1;15.3939393939394;1;NA;NA;2;NA;2;167.575757575758;NA;4.04040404040404;11.3979591836735;NA;NA;1.29230769230769;NA;NA;2
"2020";321.494949494949;NA;NA;3;NA;NA;NA;NA;16.4489795918367;53.4646464646465;NA;NA;NA;NA;NA;NA;1;1;NA;NA;1;NA;6;1;5.33684210526316;9.2020202020202;NA;NA;NA;106.010101010101;1.60869565217391;NA;362.919191919192;7.72340425531915;NA;NA;108.84693877551;NA;NA;NA;NA;1.82089552238806;83.5151515151515;NA;1;NA;1;3.83673469387755;NA;NA;NA;NA;NA;NA;4.10204081632653;2612.18181818182;3.70707070707071;1;1.75862068965517;NA;NA;NA;NA;NA;NA;27.959595959596;6.17171717171717;NA;1;NA;4.37113402061856;NA;3.14634146341463;4.58333333333333;NA;1;137.070707070707;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1.50602409638554;1.4;NA;7.81632653061224;NA;82.7676767676768;15.989898989899;NA;NA;12.989898989899;42.8191489361702;NA;1;NA;222.787878787879;11.0689655172414;9.13131313131313;NA;7;NA;6.38383838383838;1;1;NA;1;NA;NA;NA;NA;NA;NA;4.31313131313131;NA;15.1717171717172;12.7676767676768;1.87912087912088;2;2;16.8787878787879;NA;1;NA;NA;NA;NA;155.010101010101;1;1.92708333333333;NA;NA;NA;2;NA;1;NA
"2021";191.212121212121;NA;NA;2;NA;NA;NA;NA;2.3469387755102;73.2020202020202;NA;NA;NA;NA;NA;NA;1.44444444444444;NA;NA;2;NA;30;1;NA;NA;14.969696969697;1;NA;NA;42.2323232323232;6.92708333333333;NA;122.878787878788;3.22368421052632;NA;NA;30;NA;NA;NA;3.11627906976744;16.8387096774194;72.8686868686869;NA;1.30666666666667;NA;NA;1;NA;NA;NA;NA;NA;NA;2;284.353535353535;NA;1;1.51136363636364;NA;NA;NA;NA;NA;NA;21.2222222222222;NA;1;1;NA;3;NA;3.52083333333333;1.40625;1;NA;56.7575757575758;NA;NA;1.40506329113924;NA;NA;NA;NA;NA;1;NA;NA;1;NA;1;38.1855670103093;NA;114.070707070707;12.5252525252525;NA;NA;11.2626262626263;82.2631578947368;NA;5.36082474226804;NA;9;NA;35.020202020202;NA;NA;NA;20.6363636363636;NA;NA;NA;2;NA;NA;NA;5.55223880597015;NA;1;3.94897959183673;NA;4.26262626262626;17.4591836734694;NA;1;NA;19.3737373737374;NA;NA;NA;NA;NA;2;69.5151515151515;NA;3.12222222222222;13.5050505050505;NA;NA;2.45454545454545;NA;NA;NA
